hanzi,pinyin,english
以免,yi3 mian3,"in order to avoid, so as not to,"
搭配,da1 pei4,"to pair up, to match, to arrange in pairs, to add sth into a group,"
扰乱,rao3 luan4,"to disturb, to perturb, to harass,"
统统,tong3 tong3,"totally,"
报到,bao4 dao4,"to report for duty, to check in, to register,"
报社,bao4 she4,"general office of a newspaper, newspaper office, CL:家[jiā],"
热门,re4 men2,"popular, hot, in vogue,"
审查,shen3 cha2,"to examine, to investigate, to censor out, censorship,"
饮食,yin3 shi2,"food and drink, diet,"
测量,ce4 liang2,"survey, to measure, to gauge, to determine,"
谴责,qian3 ze2,"to denounce, to condemn, to criticize, condemnation, criticism,"
推翻,tui1 fan1,"to overthrow,"
威力,wei1 li4,"might, formidable power,"
虚伪,xu1 wei3,"false, hypocritical, artificial, sham,"
吹牛,chui1 niu2,"to talk big, to shoot off one's mouth, to chat (dialect),"
互联网,Hu4 lian2 wang3,"the Internet,"
敬礼,jing4 li3,"to salute, salute,"
吸取,xi1 qu3,"to absorb, to draw (a lesson, insight etc), to assimilate,"
辨认,bian4 ren4,"to recognize, to identify,"
成天,cheng2 tian1,"(coll.) all day long, all the time,"
激发,ji1 fa1,"to arouse, to excite,"
发财,fa1 cai2,"to get rich,"
奖赏,jiang3 shang3,"reward, prize, award,"
压迫,ya1 po4,"to oppress, to repress, to constrict, oppression, stress (physics),"
姿态,zi1 tai4,"attitude, posture, stance,"
界限,jie4 xian4,"boundary, marginal,"
金融,jin1 rong2,"banking, finance, financial,"
品尝,pin3 chang2,"to taste a small amount, to sample,"
丸,wan2,"pill,"
雕塑,diao1 su4,"a statue, a Buddhist image, sculpture, to carve,"
可行,ke3 xing2,"feasible,"
种子,zhong3 zi5,"seed, CL:顆|颗,粒[lì],"
充足,chong1 zu2,"adequate, sufficient, abundant,"
共和国,gong4 he2 guo2,"republic,"
人工,ren2 gong1,"artificial, manpower, manual work,"
手势,shou3 shi4,"gesture, sign, signal,"
抑制,yi4 zhi4,"to inhibit, to keep down, to suppress,"
隐蔽,yin3 bi4,"to conceal, to hide, covert, under cover,"
产业,chan3 ye4,"industry, estate, property, industrial,"
公关,gong1 guan1,"public relations,"
口气,kou3 qi4,"tone of voice, the way one speaks, manner of expression, tone,"
群众,qun2 zhong4,"mass, multitude, the masses,"
散发,san4 fa1,"to distribute, to emit, to issue,"
水泥,shui3 ni2,"cement, CL:袋[dài],"
采集,cai3 ji2,"to gather, to collect, to harvest,"
品质,pin3 zhi4,"quality,"
任命,ren4 ming4,"to appoint and nominate, (job) appointment, CL:紙|纸[zhǐ],"
旋律,xuan2 lv4,"melody, rhythm,"
争议,zheng1 yi4,"controversy, dispute, to dispute,"
琢磨,zhuo2 mo2,"to carve and polish (jade), to polish and refine a literary work,"
等级,deng3 ji2,"grade, rank, status,"
颠倒,dian1 dao3,"to turn upside-down, to reverse, back-to-front, confused, deranged, crazy,"
俘虏,fu2 lu3,"captive,"
宫殿,gong1 dian4,"palace, CL:座[zuò],"
算数,suan4 shu4,"to count numbers, to keep to one's word, to hold (i.e. to remain valid), to count (i.e. to be important),"
现状,xian4 zhuang4,"current situation,"
都市,du1 shi4,"city, metropolis,"
喇叭,la3 ba5,"horn (automobile etc), loudspeaker, brass wind instrument, trumpet, suona 鎖吶|锁呐[suǒ nà],"
莫名其妙,mo4 ming2 qi2 miao4,"unfathomable mystery (idiom); subtle and ineffable, unable to make head or tail of it, boring (e.g. movie),"
旗帜,qi2 zhi4,"ensign, flag,"
分歧,fen1 qi2,"difference (of opinion, position), bifurcation,"
期限,qi1 xian4,"time limit, deadline, allotted time,"
探测,tan4 ce4,"to probe, to take readings, to explore, exploration,"
智力,zhi4 li4,"intelligence, intellect,"
当选,dang1 xuan3,"to be elected,"
用户,yong4 hu4,"user, consumer, subscriber, customer,"
反常,fan3 chang2,"unusual, abnormal,"
书面,shu1 mian4,"in writing, written,"
原先,yuan2 xian1,"former, original,"
遥控,yao2 kong4,"remote control,"
颤抖,chan4 dou3,"to shudder, to shiver, to shake, to tremble,"
反感,fan3 gan3,"to be disgusted with, to dislike, bad reaction, antipathy,"
光彩,guang1 cai3,"luster, splendor, radiance, brilliance,"
空虚,kong1 xu1,"hollow, emptiness, meaningless,"
照料,zhao4 liao4,"to tend, to take care of sb,"
苍白,cang1 bai2,"pale, wan,"
否决,fou3 jue2,"veto,"
兼职,jian1 zhi2,"to hold concurrent posts, concurrent job, moonlighting,"
交代,jiao1 dai4,"to hand over, to explain, to make clear, to brief (sb), to account for, to justify oneself, to confess, to finish (colloquial),"
忙碌,mang2 lu4,"busy, bustling,"
排斥,pai2 chi4,"to reject, to exclude, to eliminate, to remove, to repel,"
踪迹,zong1 ji4,"tracks, trail, footprint, trace, vestige,"
设想,she4 xiang3,"to imagine, to assume, to envisage, tentative plan, to have consideration for,"
烟花,yan1 hua1,"fireworks, prostitute (esp. in Yuan theater),"
终究,zhong1 jiu1,"in the end, after all is said and done,"
内在,nei4 zai4,"intrinsic, innate,"
视力,shi4 li4,"vision, eyesight,"
延续,yan2 xu4,"to continue, to go on, to last,"
忍耐,ren3 nai4,"to show restraint, to repress (anger etc), to exercise patience,"
样品,yang4 pin3,"sample, specimen,"
啃,ken3,"to gnaw, to nibble, to bite,"
岁月,sui4 yue4,"years, passing of time,"
哎哟,ai1 yo1,"hey, ow, ouch, interjection of pain or surprise,"
灭亡,mie4 wang2,"to be destroyed, to become extinct, to perish, to die out, to destroy, to exterminate,"
约束,yue1 shu4,"to restrict, to limit to, to constrain, restriction, constraint,"
专长,zhuan1 chang2,"specialty, special knowledge or ability,"
辩解,bian4 jie3,"to explain, to justify, to defend (a point of view etc), to provide an explanation, to try to defend oneself,"
部署,bu4 shu3,"to dispose, to deploy, deployment,"
合成,he2 cheng2,"to compose, to constitute, compound, synthesis, mixture, synthetic,"
合身,he2 shen1,"well-fitting (of clothes),"
值班,zhi2 ban1,"to work a shift, on duty,"
补救,bu3 jiu4,"to remedy,"
记载,ji4 zai3,"to write down, to record, written account,"
揭发,jie1 fa1,"to expose, to bring to light, to disclose, revelation,"
体系,ti3 xi4,"system, setup, CL:個|个[gè],"
供给,gong1 ji3,"to furnish, to provide, supply (as in supply and demand),"
教养,jiao4 yang3,"to train, to educate, to bring up, to nurture, education, culture, upbringing, early conditioning,"
紧密,jin3 mi4,"inseparably close,"
埋伏,mai2 fu2,"to ambush, to lie in wait for, to lie low, ambush,"
疲惫,pi2 bei4,"beaten, exhausted, tired,"
生效,sheng1 xiao4,"to take effect, to go into effect,"
温和,wen1 he2,"mild, gentle, moderate,"
标题,biao1 ti2,"title, heading, headline, caption, subject,"
搏斗,bo2 dou4,"to wrestle, to fight, to struggle,"
不顾,bu4 gu4,"in spite of, regardless of,"
疑惑,yi2 huo4,"to doubt, to distrust, unconvincing, to puzzle over, misgivings, suspicions,"
火药,huo3 yao4,"gunpowder,"
耀眼,yao4 yan3,"to dazzle, dazzling,"
昆虫,kun1 chong2,"insect, CL:隻|只,群,堆[duī],"
拾,she4,"to pick up, to collate or arrange, ten (banker's anti-fraud numeral),"
鼻涕,bi2 ti4,"nasal mucus, snivel,"
灿烂,can4 lan4,"to glitter, brilliant, splendid,"
出身,chu1 shen1,"to be born of, to come from, family background, class origin,"
迷信,mi2 xin4,"superstition, to have a superstitious belief (in sth),"
清晨,qing1 chen2,"early morning,"
瞪,deng4,"to open (one's eyes) wide, to stare at, to glare at,"
季度,ji4 du4,"quarter of a year, season (sports),"
任意,ren4 yi4,"arbitrary, at will, at random,"
野心,ye3 xin1,"ambition, wild schemes, careerism,"
理所当然,li3 suo3 dang1 ran2,"as it should be by rights (idiom); proper and to be expected as a matter of course, inevitable and right,"
残留,can2 liu2,"to remain, left over, surplus, remnant,"
粉碎,fen3 sui4,"to crush, to smash, to shatter,"
视野,shi4 ye3,"field of view, horizon,"
挑衅,tiao3 xin4,"to provoke, provocation,"
职务,zhi2 wu4,"post, position, job, duties,"
动身,dong4 shen1,"to go on a journey, to leave,"
公道,gong1 dao4,"fair, equitable,"
擅自,shan4 zi4,"without permission, of one's own initiative,"
扒,ba1,"to hold on to, to cling to, to dig up, to rake, to push aside, to climb, to pull out, to strip off,"
废墟,fei4 xu1,"ruins,"
辉煌,hui1 huang2,"splendid, glorious,"
蔓延,man4 yan2,"to extend, to spread,"
敏锐,min3 rui4,"keen, sharp, acute,"
翼,Yi4,"wing, area surrounding the bullseye of a target, to assist, one of the 28 constellations of Chinese astronomy, old variant of 翌,"
密封,mi4 feng1,"to seal up,"
轰动,hong1 dong4,"to cause a sensation,"
审理,shen3 li3,"to hear (a case),"
夏令营,xia4 ling4 ying2,"summer camp,"
消极,xiao1 ji2,"negative, passive, inactive,"
眨,zha3,"to blink, to wink,"
北极,bei3 ji2,"the North Pole, the Arctic Pole, the north magnetic pole,"
设立,she4 li4,"to set up, to establish,"
勿,wu4,"do not,"
弦,xian2,"bow string, string of musical instrument, watchspring, chord (segment of curve), hypotenuse, CL:根[gēn],"
延期,yan2 qi1,"to delay, to extend, to postpone, to defer,"
登录,deng1 lu4,"to register, to log in,"
淘气,tao2 qi4,"naughty, bad,"
蒸发,zheng1 fa1,"to evaporate, evaporation,"
冲击,chong1 ji1,"an attack, under attack, a shock,"
看望,kan4 wang4,"to visit, to pay a call to,"
盲目,mang2 mu4,"blind, blindly, ignorant, lacking understanding,"
竖,shu4,"to erect, vertical, vertical stroke (in Chinese characters),"
频繁,pin2 fan2,"frequently, often,"
畏惧,wei4 ju4,"to fear, to dread, foreboding,"
支配,zhi1 pei4,"to control, to dominate, to allocate,"
时常,shi2 chang2,"often, frequently,"
证书,zheng4 shu1,"credentials, certificate,"
壮观,zhuang4 guan1,"spectacular, magnificent sight,"
成本,cheng2 ben3,"(manufacturing, production etc) costs,"
归还,gui1 huan2,"to return sth, to revert,"
思念,si1 nian4,"to think of, to long for, to miss,"
住宅,zhu4 zhai2,"residence, tenement,"
捧,peng3,"to clasp, to cup the hands, to hold up with both hands, to offer (esp. in cupped hands), to praise, to flatter,"
条约,tiao2 yue1,"treaty, pact, CL:個|个[gè],"
欣慰,xin1 wei4,"to be gratified,"
一贯,yi1 guan4,"consistent, constant, from start to finish, all along, persistent,"
丰满,Feng1 man3,"ample, well developed, fully rounded,"
股份,gu3 fen4,"a share (in a company), stock,"
更新,geng1 xin1,"to replace the old with new, to renew, to renovate, to upgrade, to update, to regenerate,"
拐杖,guai3 zhang4,"crutches, crutch, walking stick,"
授予,shou4 yu3,"to award, to confer,"
推理,tui1 li3,"reasoning, speculative, inference,"
储存,chu3 cun2,"stockpile, to store, to stockpile, storage,"
蛋白质,dan4 bai2 zhi4,"protein,"
庞大,pang2 da4,"huge, enormous, tremendous,"
轻而易举,qing1 er2 yi4 ju3,"easy, with no difficulty,"
验证,yan4 zheng4,"to inspect and verify, experimental verification, to validate (a theory), to authenticate,"
包袱,bao1 fu5,"cloth-wrapper, a bundle wrapped in cloth, load, weight, burden,"
不择手段,bu4 ze2 shou3 duan4,"by fair means or foul, by hook or by crook, unscrupulously,"
侧面,ce4 mian4,"lateral side, side, aspect, profile,"
潮流,chao2 liu2,"tide, current, trend,"
扛,gang1,"to carry on one's shoulder,"
徘徊,pai2 huai2,"to dither, to hesitate, to pace back and forth, by ext. to hover around, to linger,"
坡,po1,"slope, CL:個|个[gè], sloping, slanted,"
备忘录,bei4 wang4 lu4,"memorandum, aide-memoire, memorandum book,"
臂,bi4,"arm,"
层次,ceng2 ci4,"arrangement of ideas, administrative level, level, stage, phase,"
捍卫,han4 wei4,"to defend, to uphold, to safeguard,"
摩擦,mo2 ca1,"friction, rubbing, chafing, fig. disharmony, conflict, same as 磨擦,"
泡沫,pao4 mo4,"foam, (soap) bubble, (economic) bubble,"
辅助,fu3 zhu4,"to assist, to aid, supplementary, auxiliary, subsidiary,"
戒备,jie4 bei4,"to take precautions, to guard against (emergency),"
劈,pi1,"to hack, to chop, to split open, (of lightning) to strike,"
无可奉告,wu2 ke3 feng4 gao4,"(idiom) ""no comment"","
严密,yan2 mi4,"strict, tight (organization, surveillance etc),"
预先,yu4 xian1,"beforehand, in advance,"
原理,yuan2 li3,"principle, theory,"
创新,chuang4 xin1,"innovation, to bring forth new ideas, to blaze new trails,"
将近,jiang1 jin4,"almost, nearly, close to,"
渠道,qu2 dao4,"irrigation ditch, medium or channel of communication,"
苏醒,su1 xing3,"to wake up, to regain consciousness,"
奔驰,Ben1 chi2,"to run quickly, to speed, to gallop,"
当前,dang1 qian2,"current, today's, modern, present, to be facing (us),"
塑造,su4 zao4,"to model, to mould, plastic (arts), flexible, to portray (in sculpture or in words),"
快活,kuai4 huo5,"happy, cheerful,"
况且,kuang4 qie3,"moreover, besides, in addition, furthermore,"
收益,shou1 yi4,"earnings, profit,"
消毒,xiao1 du2,"to disinfect, to sterilize,"
捕捉,bu3 zhuo1,"to catch, to seize, to capture,"
偏偏,pian1 pian1,"(indicates that sth turns out just the opposite of what one would expect or what would be normal), unfortunately, against expectations,"
瀑布,pu4 bu4,"waterfall,"
散布,san4 bu4,"to disseminate,"
讨价还价,tao3 jia4 huan2 jia4,"to haggle over price,"
笨拙,ben4 zhuo1,"clumsy, awkward, stupid,"
得罪,de2 zui4,"to commit an offense, to violate the law, excuse me! (formal), see also 得罪[dé zui],"
锋利,feng1 li4,"sharp (e.g. knife blade), incisive, to the point,"
救济,jiu4 ji4,"emergency relief, to help the needy with cash or goods,"
麻痹,ma2 bi4,"paralysis, palsy, numbness, to benumb,"
高明,Gao1 ming2,"brilliant, superior, tall and bright,"
机遇,ji1 yu4,"opportunity, favorable circumstance, stroke of luck,"
隆重,long2 zhong4,"grand, prosperous, ceremonious, solemn,"
让步,rang4 bu4,"to concede, to give in, to yield, a concession,"
枝,zhi1,"branch, classifier for sticks, rods, pencils etc,"
别扭,bie4 niu5,"awkward, difficult, uncomfortable, not agreeing, at loggerheads, gauche, awkward (writing or speech),"
诽谤,fei3 bang4,"to slander, to libel,"
洪水,hong2 shui3,"deluge, flood,"
扭转,niu3 zhuan3,"to reverse, to turn around (an undesirable situation),"
声誉,sheng1 yu4,"reputation, fame,"
意料,yi4 liao4,"to anticipate, to expect,"
专利,zhuan1 li4,"patent,"
拣,jian3,"to choose, to pick, to sort out, to pick up,"
区分,qu1 fen1,"to differentiate, to find differing aspects,"
喜悦,xi3 yue4,"happy, joyous,"
愈,yu4,"to heal,"
机灵,ji1 ling5,"clever, quick-witted,"
精致,jing1 zhi4,"delicate, fine, exquisite, refined,"
音响,yin1 xiang3,"speakers or speaker (electronic), acoustics, sound field (in a room or theater),"
把手,ba3 shou3,"handle, grip, knob,"
开支,kai1 zhi1,"expenditures, pay, expenses, CL:筆|笔[bǐ],"
抢救,qiang3 jiu4,"rescue,"
亲身,qin1 shen1,"personal, oneself,"
发育,fa1 yu4,"to develop, growth, development,"
股东,gu3 dong1,"shareholder, stockholder,"
迄今为止,qi4 jin1 wei2 zhi3,"so far, up to now, still (not),"
生育,sheng1 yu4,"to bear, to give birth, to grow, to rear, to bring up (children),"
消耗,xiao1 hao4,"to use up, to consume,"
歹徒,dai3 tu2,"evil-doer, malefactor, gangster, hoodlum,"
分解,fen1 jie3,"to resolve, to decompose, to break down,"
风度,feng1 du4,"elegance (for men), elegant demeanor, grace, poise,"
辜负,gu1 fu4,"to fail to live up (to expectations), unworthy (of trust), to let down, to betray (hopes), to disappoint,"
疲倦,pi2 juan4,"to tire, tired,"
一如既往,yi1 ru2 ji4 wang3,"just as in the past (idiom); as before, continuing as always,"
反驳,fan3 bo2,"to retort, to refute,"
反射,fan3 she4,"to reflect, reflection (from a mirror etc), reflex (i.e. automatic reaction of organism),"
故乡,gu4 xiang1,"home, homeland, native place, CL:個|个[gè],"
内幕,nei4 mu4,"inside story, non-public information, behind the scenes, internal,"
贫困,pin2 kun4,"impoverished, poverty,"
司令,si1 ling4,"commanding officer,"
印刷,yin4 shua1,"print,"
政权,zheng4 quan2,"regime, (wield) political power,"
锤,chui2,"hammer, to hammer into shape, weight (e.g. of a steelyard or balance),"
窜,cuan4,"to flee, to scuttle, to exile or banish, to amend or edit,"
干预,gan1 yu4,"to meddle, to intervene, intervention,"
描绘,miao2 hui4,"to describe, to portray,"
平行,ping2 xing2,"parallel, of equal rank, simultaneous,"
迫害,po4 hai4,"to persecute, persecution,"
缺席,que1 xi2,"absence, absent,"
粥,yu4,"congee, gruel, porridge, CL:碗[wǎn],"
诸位,zhu1 wei4,"(pron) everyone, Ladies and Gentlemen, Sirs,"
池塘,chi2 tang2,"pool, pond,"
惯例,guan4 li4,"convention, usual practice,"
鞠躬,ju1 gong1,"to bow,"
搂,lou1,"to hug, to embrace, to hold in one's arms,"
融洽,rong2 qia4,"harmonious, friendly relations, on good terms with one another,"
照样,zhao4 yang4,"as before, (same) as usual,"
冻结,dong4 jie2,"to freeze (loan, wage, price etc),"
较量,jiao4 liang4,"to have a contest with sb, to cross swords, to measure up against, to compete with, to haggle, to quibble,"
揉,rou2,"to knead, to massage, to rub,"
三角,san1 jiao3,"triangle,"
熄灭,xi1 mie4,"to stop burning, to go out (of fire), to die out, extinguished,"
向导,xiang4 dao3,"guide,"
做主,zuo4 zhu3,"make the decision, take charge of, back up, support, be host,"
裁缝,cai2 feng2,"tailor, dressmaker,"
放射,fang4 she4,"to radiate, radioactive,"
公务,gong1 wu4,"official business,"
光辉,guang1 hui1,"radiance, glory, brilliant, magnificent,"
合伙,he2 huo3,"to act jointly, to form a partnership,"
考察,kao3 cha2,"to inspect, to observe and study, on-the-spot investigation,"
素食,su4 shi2,"vegetables, vegetarian food,"
淹没,yan1 mo4,"to submerge, to drown, to flood, to drown out (also fig.),"
触犯,chu4 fan4,"to offend,"
伺候,ci4 hou4,"to serve, to wait upon,"
打官司,da3 guan1 si5,"to file a lawsuit, to sue, to dispute,"
风光,feng1 guang1,"scene, view, sight, landscape, to be well-regarded, to be well-off, grand (topolect), impressive (topolect),"
屑,xie4,"bits, fragments, crumbs, filings, trifling, trivial, to condescend to,"
要点,yao4 dian3,"main point, essential,"
不妨,bu4 fang2,"there is no harm in, might as well,"
断绝,duan4 jue2,"to sever, to break off,"
构思,gou4 si1,"to design, to plot, to plan out, to compose, to draw a mental sketch, conception, plan, idea, composition,"
款待,kuan3 dai4,"to entertain, to be hospitable to,"
模范,mo2 fan4,"model, fine example,"
捎,shao1,"to bring sth to sb, to deliver,"
孤立,gu1 li4,"isolate, isolated,"
呻吟,shen1 yin2,"to moan, to groan,"
心血,xin1 xue4,"heart's blood, expenditure (for some project), meticulous care,"
注重,zhu4 zhong4,"to pay attention to, to emphasize,"
不堪,bu4 kan1,"cannot bear, cannot stand, utterly, extremely,"
掠夺,lve4 duo2,"to plunder, to rob, also written 略奪|略夺,"
胜负,sheng4 fu4,"victory or defeat, the outcome of a battle,"
赞扬,zan4 yang2,"to praise, to approve of, to show approval,"
遵循,zun1 xun2,"to follow, to abide by, to comply with, compliance,"
喘气,chuan3 qi4,"to breathe deeply, to pant,"
精通,jing1 tong1,"proficient,"
刊登,kan1 deng1,"to carry a story, to publish (in a newspaper or magazine),"
麻木,ma2 mu4,"numb, insensitive, apathetic,"
气象,qi4 xiang4,"meteorological feature, CL:個|个[gè], meteorology, atmosphere, ambience, scene,"
奢侈,she1 chi3,"luxurious, extravagant, wasteful,"
延伸,yan2 shen1,"to extend, to spread,"
殖民地,zhi2 min2 di4,"colony,"
步伐,bu4 fa2,"pace, (measured) step, march,"
挫折,cuo4 zhe2,"setback, reverse, check, defeat, frustration, disappointment, to frustrate, to discourage, to set sb back, to blunt, to subdue,"
启示,qi3 shi4,"enlightenment, revelation, apocalypse,"
手艺,shou3 yi4,"craftmanship, workmanship, handicraft, trade,"
溪,xi1,"variant of 溪, creek, rivulet,"
遍布,bian4 bu4,"to cover the whole (area), to be found throughout,"
动态,dong4 tai4,"development, trend, dynamic state, movement, moving,"
工夫,gong1 fu1,"time, spare time, skill, labor, effort,"
决策,jue2 ce4,"strategic decision, decision-making, policy decision, to determine policy,"
疏忽,shu1 hu5,"to neglect, to overlook, negligence, carelessness,"
贝壳,bei4 ke2,"shell, conch, cowry, mother of pearl, hard outer skin, alternative reading , mostly written,"
连锁,lian2 suo3,"to interlock, to be linked, chain (store etc),"
乞丐,qi3 gai4,"beggar,"
饶恕,rao2 shu4,"to forgive, to pardon, to spare,"
施展,shi1 zhan3,"to use fully, to put to use,"
虚假,xu1 jia3,"false, phony, pretense,"
草率,cao3 shuai4,"careless, negligent, sloppy, not serious,"
沸腾,fei4 teng2,"boiling, ebullition,"
紧迫,jin3 po4,"pressing, urgent,"
冒充,mao4 chong1,"to feign, to pretend to be, to pass oneself off as,"
习俗,xi2 su2,"custom, tradition, local tradition, convention,"
想方设法,xiang3 fang1 she4 fa3,"to think up every possible method (idiom); to devise ways and means, to try this, that and the other,"
衷心,zhong1 xin1,"heartfelt, wholehearted, cordial,"
备份,bei4 fen4,"backup,"
充实,chong1 shi2,"rich, full, substantial, to enrich, to augment, to substantiate (an argument),"
储备,chu3 bei4,"reserves, to store up,"
观光,guan1 guang1,"to tour, sightseeing, tourism,"
纠纷,jiu1 fen1,"a dispute, entanglement (law),"
下属,xia4 shu3,"subordinate, underling,"
周边,zhou1 bian1,"periphery, rim, also written 周邊|周边,"
颁发,ban1 fa1,"to issue, to promulgate, to award,"
领事馆,ling3 shi4 guan3,"consulate,"
领土,ling3 tu3,"territory,"
渗透,shen4 tou4,"to permeate, to infiltrate, to pervade, osmosis,"
宣扬,xuan1 yang2,"to proclaim, to make public or well known,"
起草,qi3 cao3,"draft (a bill), draw up (plans),"
起源,qi3 yuan2,"origin, to originate, to come from,"
妥当,tuo3 dang5,"appropriate, proper, ready,"
向往,xiang4 wang3,"to yearn for, to look forward to,"
智能,zhi4 neng2,"intelligent, able, smart (phone, system, bomb etc),"
必定,bi4 ding4,"be bound to, be sure to,"
顾虑,gu4 lv4,"misgivings, apprehensions,"
经费,jing1 fei4,"funds, expenditure, CL:筆|笔[bǐ],"
美满,mei3 man3,"happy, blissful,"
施加,shi1 jia1,"to exert (effort or pressure),"
思绪,si1 xu4,"train of thought, emotional state, mood, feeling,"
繁殖,fan2 zhi2,"to breed, to reproduce, to propagate,"
收缩,shou1 suo1,"to pull back, to shrink, to contract,"
词汇,ci2 hui4,"vocabulary, list of words (e.g. for language teaching purposes),"
大致,da4 zhi4,"more or less, roughly, approximately,"
堵塞,du3 se4,"to block, to stop, blockage,"
钦佩,qin1 pei4,"to admire, to look up to, to respect sb greatly,"
圆满,yuan2 man3,"satisfactory, consummate, perfect,"
便条,bian4 tiao2,"(informal) note, CL:張|张,個|个[gè],"
表态,biao3 tai4,"to declare one's position, to say where one stands,"
不得已,bu4 de2 yi3,"to act against one's will, to have no alternative but to, to have to, to have no choice, must,"
反馈,fan3 kui4,"to send back information, feedback,"
货币,huo4 bi4,"currency, monetary, money,"
沐浴,mu4 yu4,"to take a bath, to bathe, to immerse,"
树立,shu4 li4,"to set up, to establish,"
维生素,wei2 sheng1 su4,"vitamin,"
主导,zhu3 dao3,"to lead, to manage,"
冷却,leng3 que4,"to cool off, cooling,"
协商,xie2 shang1,"to consult with, to talk things over, agreement,"
大臣,da4 chen2,"chancellor (of a monarchy), cabinet minister,"
管辖,guan3 xia2,"to administer, to have jurisdiction (over),"
皱纹,zhou4 wen2,"wrinkle, CL:道[dào],"
潮湿,chao2 shi1,"damp, moist,"
抽空,chou1 kong4,"to find the time to do sth,"
间接,jian4 jie1,"indirect,"
扩张,kuo4 zhang1,"expansion, dilation, to expand (e.g. one's power or influence), to broaden,"
笼罩,long3 zhao4,"to envelop, to shroud,"
派遣,pai4 qian3,"to send (on a mission), to dispatch,"
偏僻,pian1 pi4,"remote, desolate, far from the city,"
起伏,qi3 fu2,"to move up and down, to undulate, ups and downs,"
山脉,shan1 mai4,"mountain range, CL:條|条[tiáo],"
掰,bai1,"to break with both hands,"
差距,cha1 ju4,"disparity, gap,"
持久,chi2 jiu3,"lasting, enduring, persistent, permanent, protracted, endurance, persistence, to last long,"
崇高,chong2 gao1,"majestic, sublime,"
共鸣,gong4 ming2,"resonance (physics), sympathetic response to sth,"
话筒,hua4 tong3,"microphone, (telephone) receiver, handset,"
坚固,jian1 gu4,"firm, firmly, hard, stable,"
调节,tiao2 jie2,"to adjust, to regulate, to harmonize, to reconcile (accountancy etc),"
务必,wu4 bi4,"must, to need to, to be sure to,"
攒,cuan2,"to collect, to hoard, to accumulate, to save,"
债券,zhai4 quan4,"bond, debenture,"
众所周知,zhong4 suo3 zhou1 zhi1,"see 眾所周知|众所周知[zhòng suǒ zhōu zhī],"
称号,cheng1 hao4,"name, term of address, title,"
调动,diao4 dong4,"to transfer, to maneuver (troops etc), to mobilize, to bring into play,"
埋怨,man2 yuan4,"to complain, to grumble (about), to reproach, to blame,"
慎重,shen4 zhong4,"cautious, careful, prudent,"
微不足道,wei1 bu4 zu2 dao4,"negligible, insignificant,"
预兆,yu4 zhao4,"omen, prognosis (in medicine),"
重心,zhong4 xin1,"center of gravity, central core, main part,"
筹备,chou2 bei4,"preparations, to get ready for sth,"
国防,guo2 fang2,"national defense,"
选拔,xuan3 ba2,"to select the best,"
追究,zhui1 jiu1,"to investigate, to look into,"
抵制,di3 zhi4,"to resist, to boycott, to refuse (to cooperate), to reject, resistance, refusal,"
行列,hang2 lie4,"procession,"
联想,Lian2 xiang3,"to associate (cognitively), to make an associative connection, mental association, word prediction and auto-complete functions of input method editing programs,"
难免,nan2 mian3,"hard to avoid, difficult to escape from,"
配偶,pei4 ou3,"consort, mate, spouse,"
漂浮,piao1 fu2,"to float, to hover, to drift (also fig., to lead a wandering life), to rove, showy, superficial,"
前景,qian2 jing3,"foreground, vista, (future) prospects, perspective,"
示威,shi4 wei1,"to demonstrate (as a protest), a demonstration, a military show of force,"
巷,xiang4,"lane, alley,"
废除,fei4 chu2,"to abolish, to abrogate, to repeal,"
恨不得,hen4 bu5 de5,"wishing one could do sth, to hate to be unable, itching to do sth, can't wait for, to wish one could do sth, to desire strongly,"
计较,ji4 jiao4,"to bother about, to haggle, to bicker, to argue, plan, stratagem,"
寂静,ji4 jing4,"quiet,"
敏捷,min3 jie2,"nimble, quick, shrewd,"
器材,qi4 cai2,"equipment, material,"
权益,quan2 yi4,"rights and benefits,"
闪烁,shan3 shuo4,"flickering, twinkling, evasive, vague (of speech),"
四肢,si4 zhi1,"the four limbs of the body,"
丰盛,feng1 sheng4,"rich, sumptuous,"
嗅觉,xiu4 jue2,"sense of smell,"
制裁,zhi4 cai2,"to punish, punishment, sanctions (incl. economic),"
过滤,guo4 lv4,"to filter, filter,"
渺小,miao3 xiao3,"minute, tiny, negligible, insignificant,"
分泌,fen1 mi4,"to secrete, secretion,"
腐蚀,fu3 shi2,"corrosion, to corrode (degrade chemically), to rot, corruption,"
胡乱,hu2 luan4,"careless, reckless, casually, absent-mindedly, at will, at random, any old how,"
加工,jia1 gong1,"to process, processing, working (of machinery),"
特长,te4 chang2,"personal strength, one's special ability or strong points,"
振奋,zhen4 fen4,"to stir oneself up, to raise one's spirits, to inspire,"
高峰,gao1 feng1,"peak, summit, height,"
借助,jie4 zhu4,"to draw support from, with the help of,"
流露,liu2 lu4,"to express, to reveal (one's thoughts or feelings),"
启程,qi3 cheng2,"to set out on a journey,"
倾斜,qing1 xie2,"to incline, to lean, to slant, to slope, to tilt,"
瘸,que2,"lame,"
相应,xiang1 ying4,"to correspond, answering (one another), to agree (among the part), corresponding, relevant, appropriate, (modify) accordingly,"
承办,cheng2 ban4,"to undertake, to accept a contract,"
倒闭,dao3 bi4,"to go bankrupt, to close down,"
混淆,hun4 xiao2,"to obscure, to confuse, to mix up, to blur, to mislead,"
